001|商品1|001001|2.60|1.30|51|10|C02|S02|1|1779091484|1779091484
002|商品2|001002|2.70|1.35|52|11|C03|S03|1|1779091485|1779091485
003|商品3|001003|2.80|1.40|53|11|C04|S01|1|1779091486|1779091486
004|商品4|001004|2.90|1.45|54|12|C05|S02|1|1779091487|1779091487
005|商品5|001005|3.00|1.50|55|12|C01|S03|1|1779091488|1779091488
006|商品6|001006|3.10|1.55|56|13|C02|S01|1|1779091489|1779091489
007|商品7|001007|3.20|1.60|57|13|C03|S02|1|1779091490|1779091490
008|商品8|001008|3.30|1.65|58|14|C04|S03|1|1779091491|1779091491
009|商品9|001009|3.40|1.70|59|14|C05|S01|1|1779091492|1779091492
010|商品10|001010|3.50|1.75|60|15|C01|S02|1|1779091493|1779091493
011|商品11|001011|3.60|1.80|61|15|C02|S03|1|1779091494|1779091494
012|商品12|001012|3.70|1.85|62|16|C03|S01|1|1779091495|1779091495
013|商品13|001013|3.80|1.90|63|16|C04|S02|1|1779091496|1779091496
014|商品14|001014|3.90|1.95|64|17|C05|S03|1|1779091497|1779091497
015|商品15|001015|4.00|2.00|65|17|C01|S01|1|1779091498|1779091498
016|商品16|001016|4.10|2.05|66|18|C02|S02|1|1779091499|1779091499
017|商品17|001017|4.20|2.10|67|18|C03|S03|1|1779091500|1779091500
018|商品18|001018|4.30|2.15|68|19|C04|S01|1|1779091501|1779091501
019|商品19|001019|4.40|2.20|69|19|C05|S02|1|1779091502|1779091502
020|商品20|001020|4.50|2.25|70|20|C01|S03|1|1779091503|1779091503
021|商品21|001021|4.60|2.30|71|20|C02|S01|1|1779091504|1779091504
022|商品22|001022|4.70|2.35|72|21|C03|S02|1|1779091505|1779091505
023|商品23|001023|4.80|2.40|73|21|C04|S03|1|1779091506|1779091506
024|商品24|001024|4.90|2.45|74|22|C05|S01|1|1779091507|1779091507
025|商品25|001025|5.00|2.50|75|22|C01|S02|1|1779091508|1779091508
026|商品26|001026|5.10|2.55|76|23|C02|S03|1|1779091509|1779091509
027|商品27|001027|5.20|2.60|77|23|C03|S01|1|1779091510|1779091510
028|商品28|001028|5.30|2.65|78|24|C04|S02|1|1779091511|1779091511
029|商品29|001029|5.40|2.70|79|24|C05|S03|1|1779091512|1779091512
030|商品30|001030|5.50|2.75|80|25|C01|S01|1|1779091513|1779091513
